,District,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
MBarangay 365,Santa Cruz,"14.6232, 120.9846","1,278",375,918,35,28.24,69.13,2.64
MBarangay 366,Santa Cruz,"14.6248, 120.9837","1,193",264,734,64,24.86,69.11,6.03
MBarangay 367,Santa Cruz,"14.6247, 120.9855","1,708",432,"1,134",87,26.13,68.6,5.26
MBarangay 368,Santa Cruz,"14.6215, 120.9885","1,337",338,903,52,26.14,69.84,4.02
MBarangay 369,Santa Cruz,"14.6230, 120.9871","1,396",355,792,39,29.93,66.78,3.29
MBarangay 37,Tondo,"14.6073, 120.9621","2,057",620,"1,283",57,31.63,65.46,2.91
MBarangay 370,Santa Cruz,"14.6247, 120.9873",772,162,548,34,21.77,73.66,4.57
MBarangay 371,Santa Cruz,"14.6234, 120.9884",842,173,613,53,20.62,73.06,6.32
MBarangay 372,Santa Cruz,"14.6307, 120.9891","4,136","1,252","2,264",122,34.41,62.23,3.35
MBarangay 373,Santa Cruz,"14.6302, 120.9835","3,788","1,246","2,566",192,31.12,64.09,4.8
MBarangay 374,Santa Cruz,"14.6305, 120.9822","3,277","1,001","2,387",227,27.69,66.03,6.28
MBarangay 375,Santa Cruz,"14.6292, 120.9833","3,909","1,207","2,342",162,32.52,63.11,4.37
MBarangay 376,Santa Cruz,"14.6265, 120.9877",930,270,674,62,26.84,67,6.16
MBarangay 377,Santa Cruz,"14.6277, 120.9854",578,120,356,40,23.26,68.99,7.75
MBarangay 378,Santa Cruz,"14.6287, 120.9845",602,307,762,67,27.02,67.08,5.9
MBarangay 379,Santa Cruz,"14.6259, 120.9862",654,162,492,26,23.82,72.35,3.82
MBarangay 38,Tondo,"14.6056, 120.9623","2,870",927,"1,959",115,30.89,65.28,3.83
MBarangay 380,Santa Cruz,"14.6263, 120.9854",921,210,618,69,23.41,68.9,7.69
MBarangay 381,Santa Cruz,"14.6261, 120.9840","1,591",398,924,54,28.92,67.15,3.92
MBarangay 382,Santa Cruz,"14.6278, 120.9837",896,265,632,49,28.01,66.81,5.18
MBarangay 383,Quiapo,"14.5972, 120.9847","2,267",609,"1,199",13,33.44,65.84,0.71
MBarangay 384,Quiapo,"14.5959, 120.9842","3,511","1,214","1,945",36,38,60.88,1.13
MBarangay 385,Quiapo,"14.5958, 120.9875","3,406",869,"1,969",82,29.76,67.43,2.81
MBarangay 386,Quiapo,"14.5949, 120.9897","1,213",458,859,24,34.15,64.06,1.79
MBarangay 387,Quiapo,"14.5972, 120.9876","2,654",889,"2,030",75,29.69,67.8,2.51
MBarangay 388,Quiapo,"14.5978, 120.9881","1,260",267,667,55,27,67.44,5.56
MBarangay 389,Quiapo,"14.5983, 120.9904","1,174",214,810,32,20.27,76.7,3.03
MBarangay 39,Tondo,"14.6061, 120.9599","2,324",850,"1,548",62,34.55,62.93,2.52
MBarangay 390,Quiapo,"14.5994, 120.9896",792,196,535,31,25.72,70.21,4.07
MBarangay 391,Quiapo,"14.6012, 120.9855","2,558",557,"2,005",77,21.11,75.98,2.92
MBarangay 392,Quiapo,"14.6013, 120.9871",695,128,533,16,18.91,78.73,2.36
MBarangay 393,Quiapo,"14.5986, 120.9868","4,073",973,"2,777",126,25.1,71.65,3.25
MBarangay 394,Quiapo,"14.5997, 120.9850","1,433",382,"1,111",55,24.68,71.77,3.55
MBarangay 395,Sampaloc,"14.6035, 120.9868","1,222",92,523,17,14.56,82.75,2.69
MBarangay 396,Sampaloc,"14.6046, 120.9887","1,666",66,"1,635",8,3.86,95.67,0.47
MBarangay 397,Sampaloc,"14.6063, 120.9902","4,175",202,"1,869",40,9.57,88.54,1.89
MBarangay 398,Sampaloc,"14.6057, 120.9915","3,068",425,"1,760",43,19.08,78.99,1.93
MBarangay 399,Sampaloc,"14.6049, 120.9905","1,068",149,733,27,16.39,80.64,2.97
MBarangay 4,Tondo,"14.6073, 120.9668","1,691",563,"1,224",85,30.07,65.38,4.54
MBarangay 400,Sampaloc,"14.6034, 120.9907","1,504",235,"1,062",30,17.71,80.03,2.26
MBarangay 401,Sampaloc,"14.6042, 120.9922","2,333",632,"1,357",69,30.71,65.94,3.35
MBarangay 402,Sampaloc,"14.6022, 120.9922","2,758",924,"2,634",91,25.32,72.18,2.49
MBarangay 403,Sampaloc,"14.6018, 120.9912",630,349,"1,003",54,24.82,71.34,3.84
MBarangay 404,Sampaloc,"14.6022, 120.9895",723,124,766,13,13.73,84.83,1.44
MBarangay 405,Sampaloc,"14.6050, 120.9938",999,197,757,51,19.6,75.32,5.07
MBarangay 406,Sampaloc,"14.6057, 120.9941",449,114,473,35,18.33,76.05,5.63
MBarangay 407,Sampaloc,"14.6038, 120.9947","1,571",276,841,38,23.9,72.81,3.29
MBarangay 408,Sampaloc,"14.6043, 120.9953","1,768",252,890,57,21.02,74.23,4.75
MBarangay 409,Sampaloc,"14.6020, 120.9972","1,921",547,"1,666",166,22.99,70.03,6.98
MBarangay 41,Tondo,"14.6084, 120.9627","3,825","1,096","2,507",103,29.57,67.65,2.78
MBarangay 410,Sampaloc,"14.6007, 120.9972","2,424",476,"1,304",41,26.14,71.61,2.25
MBarangay 411,Sampaloc,"14.6027, 120.9969","1,903",253,963,47,20.03,76.25,3.72
MBarangay 412,Sampaloc,"14.6008, 120.9946","1,890",433,"1,164",49,26.31,70.72,2.98
MBarangay 413,Sampaloc,"14.6016, 120.9950","1,702",403,"1,806",74,17.65,79.11,3.24
MBarangay 414,Sampaloc,"14.6024, 120.9952","1,716",247,910,63,20.25,74.59,5.16
MBarangay 415,Sampaloc,"14.6029, 120.9938",884,197,606,37,23.45,72.14,4.4
MBarangay 416,Sampaloc,"14.6014, 120.9930",821,189,870,19,17.53,80.71,1.76
MBarangay 417,Sampaloc,"14.6041, 120.9999","2,011",380,"1,270",98,21.74,72.65,5.61
MBarangay 418,Sampaloc,"14.6025, 121.0005","2,835",786,"2,070",121,26.4,69.53,4.06
MBarangay 419,Sampaloc,"14.6034, 120.9988","1,696",533,"1,355",128,26.44,67.21,6.35
MBarangay 42,Tondo,"14.6084, 120.9633","2,142",641,"1,500",97,28.64,67.02,4.33
MBarangay 420,Sampaloc,"14.6015, 120.9993","3,134",818,"1,859",134,29.1,66.13,4.77
MBarangay 421,Sampaloc,"14.6042, 121.0032","1,474",317,976,58,23.46,72.24,4.29
MBarangay 422,Sampaloc,"14.6053, 121.0025","2,304",673,"1,529",81,29.48,66.97,3.55
MBarangay 423,Sampaloc,"14.6045, 121.0013","1,307",291,"1,031",75,20.83,73.8,5.37
MBarangay 424,Sampaloc,"14.6028, 121.0016","1,900",481,"1,663",130,21.15,73.13,5.72
MBarangay 425,Sampaloc,"14.6026, 121.0033","2,087",271,"1,228",79,17.17,77.82,5.01
MBarangay 426,Sampaloc,"14.6022, 121.0069","1,786",289,978,75,21.54,72.88,5.59
MBarangay 427,Sampaloc,"14.6032, 121.0045",495,118,539,20,17.43,79.62,2.95
MBarangay 428,Sampaloc,"14.6039, 121.0046","1,304",344,931,76,25.46,68.91,5.63
MBarangay 429,Sampaloc,"14.6071, 120.9959","2,814",732,"1,566",130,30.15,64.5,5.35
MBarangay 43,Tondo,"14.6088, 120.9620","3,362","1,184","2,115",89,34.95,62.43,2.63
MBarangay 430,Sampaloc,"14.6061, 120.9945",508,79,479,37,13.28,80.5,6.22
MBarangay 431,Sampaloc,"14.6067, 120.9951",700,175,565,47,22.24,71.79,5.97
MBarangay 432,Sampaloc,"14.6063, 120.9975","3,436","1,259","2,164",121,35.52,61.06,3.41
MBarangay 433,Sampaloc,"14.6042, 120.9961",464,98,336,22,21.49,73.68,4.82
MBarangay 434,Sampaloc,"14.6056, 120.9960","1,173",264,822,48,23.28,72.49,4.23
MBarangay 435,Sampaloc,"14.6046, 120.9968",592,164,630,53,19.36,74.38,6.26
MBarangay 436,Sampaloc,"14.6049, 120.9992",964,300,829,57,25.3,69.9,4.81
MBarangay 437,Sampaloc,"14.6060, 121.0007",899,246,747,55,23.47,71.28,5.25
