,District,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
MBarangay 667,Ermita,"14.5784, 120.9796","2,371",344,866,28,27.79,69.95,2.26
MBarangay 668,Ermita,"14.5749, 120.9815","2,645",239,965,19,19.54,78.9,1.55
MBarangay 669,Ermita,"14.5768, 120.9851","2,928",345,"1,543",16,18.12,81.04,0.84
MBarangay 67,Tondo,"14.6143, 120.9652","4,083","1,210","2,619",154,30.38,65.75,3.87
MBarangay 670,Ermita,"14.5802, 120.9836","2,774",319,"1,084",35,22.18,75.38,2.43
MBarangay 671,Paco,"14.5818, 120.9932","1,227",279,824,66,23.87,70.49,5.65
MBarangay 672,Paco,"14.5833, 120.9918","3,133",910,"2,164",163,28.11,66.85,5.04
MBarangay 673,Paco,"14.5796, 120.9919","2,764",633,"1,878",94,24.3,72.09,3.61
MBarangay 674,Paco,"14.5819, 120.9887","1,398",276,"1,261",79,17.08,78.03,4.89
MBarangay 675,Paco,"14.5776, 120.9901","1,988",603,"1,852",77,23.82,73.14,3.04
MBarangay 676,Paco,"14.5795, 120.9884","1,431",288,"1,230",52,18.34,78.34,3.31
